number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
16205,Talaguppa Mysore Intercity Express,Exp,Express,SWR,TLGP,Talguppa,MYS,MYSORE JN,373,7,55,22:40:00,14:45:00,16206,0,0,0,0,0,1
16206,Mysore - Talguppa Intercity Express,Exp,Express,SWR,MYS,MYSORE JN,TLGP,Talguppa,373,8,15,14:15:00,06:00:00,16205,0,0,0,0,0,1
16209,Ajmer-Mysore Express,Exp,Express,SWR,AII,AJMER JN,MYS,MYSORE JN,2290,49,35,07:10:00,05:35:00,16210,1,1,1,0,0,0
16210,Mysore-Ajmer Express,Exp,Express,SWR,MYS,MYSORE JN,AII,AJMER JN,2290,47,15,17:30:00,18:15:00,16209,1,1,1,0,0,0
16215,Chamundi Express,Exp,Express,SWR,MYS,MYSORE JN,SBC,BANGALORE CITY JN,139,2,55,09:40:00,06:45:00,16216,0,0,0,0,0,1
16216,Chamundi Express,Exp,Express,SWR,SBC,BANGALORE CITY JN,MYS,MYSORE JN,139,2,55,21:10:00,18:15:00,16215,0,0,0,0,0,1
16227,Bangalore-Shimoga Express,Exp,Express,SWR,SBC,BANGALORE CITY JN,SMET,Shimoga Town,274,6,55,06:10:00,23:15:00,16228,1,1,0,1,1,0
16228,Shimoga-Bangalore Express,Exp,Express,SWR,SMET,Shimoga Town,SBC,BANGALORE CITY JN,274,6,20,04:30:00,22:10:00,16227,1,1,0,1,1,0
16231,Mayiladuturai Mysore Express,Exp,Express,SWR,MV,MAYILADUTURAI JN,MYS,MYSORE JN,680,15,35,09:20:00,17:45:00,16232,1,1,1,0,0,0
16232,Mysore Mayiladuturai Express,Exp,Express,SWR,MYS,MYSORE JN,MV,MAYILADUTURAI JN,680,15,15,07:00:00,15:45:00,16231,1,1,1,0,0,0
