station,interactions,mean_risk,high_risk_interactions,mean_source_delay,mean_gap,warning_rate,bottleneck_score
ERS,71,0.4995075934191423,52,21.633802816901408,14.774647887323944,0.7323943661971831,0.49367099115138985
DLN,34,0.4943765470292765,21,54.11764705882353,14.264705882352942,0.6176470588235294,0.4930166719881216
MAU,37,0.4955238906746544,24,45.13513513513514,18.054054054054053,0.6486486486486487,0.49284326827099917
NWP,30,0.4959579796172672,20,39.43333333333333,15.433333333333334,0.6666666666666666,0.4920878637832794
QLN,172,0.49754359644667934,129,16.186046511627907,14.424418604651162,0.75,0.4918769956636393
DNR,182,0.49612027819848126,118,43.8021978021978,17.593406593406595,0.6483516483516484,0.4915613805870593
BXN,37,0.4980391777253322,27,21.0,16.2972972972973,0.7297297297297297,0.49142844066749103
JMP,41,0.4972145082003418,28,33.09756097560975,17.170731707317074,0.6829268292682927,0.49050718316657566
SUR,136,0.4973731031817284,98,21.823529411764707,13.860294117647058,0.7205882352941176,0.4892741289036685
PNME,62,0.4913704141124083,45,22.725806451612904,14.838709677419354,0.7258064516129032,0.4888475076984788
APR,36,0.4960833956587162,25,29.0,14.805555555555555,0.6944444444444444,0.48881350990989497
LDH,326,0.4970451580612721,232,23.920245398773005,13.763803680981596,0.7116564417177914,0.48877593816652487
BXR,164,0.49548284166852724,102,48.6219512195122,14.24390243902439,0.6219512195121951,0.4887137567321192
CRJ,102,0.49388601992065945,70,31.862745098039216,15.490196078431373,0.6862745098039216,0.48846601737358586
CGL,144,0.4961595932321776,108,12.666666666666666,17.22222222222222,0.75,0.48724832756314324
TBM,151,0.49376432932165815,115,9.52980132450331,15.139072847682119,0.7615894039735099,0.48601871887805354
GTL,146,0.49691318210601426,106,17.568493150684933,13.73972602739726,0.726027397260274,0.4859163685651888
NBD,48,0.4846674548749419,36,16.520833333333332,16.666666666666668,0.75,0.48581340678124424
TNA,396,0.4984984100754116,281,21.042929292929294,12.63888888888889,0.7095959595959596,0.48566594514572103
AKV,50,0.4972725317881323,37,13.32,18.32,0.74,0.4855355947531266
KPD,320,0.49702978478046517,229,19.88125,12.484375,0.715625,0.48544092706584774
ED,290,0.4968831107294667,210,17.641379310344828,12.910344827586206,0.7241379310344828,0.4854160211519739
SHG,46,0.4990142075202196,30,35.869565217391305,16.97826086956522,0.6521739130434783,0.4852818338447319
MTC,77,0.49581913865812627,51,34.467532467532465,16.818181818181817,0.6623376623376623,0.48516515490679635
KRR,38,0.4951635761114526,28,14.526315789473685,14.447368421052632,0.7368421052631579,0.48488309501439814
VKB,31,0.4964374930313083,22,21.225806451612904,14.516129032258064,0.7096774193548387,0.4848644851315162
GNT,111,0.49715035217568043,75,29.90990990990991,15.243243243243244,0.6756756756756757,0.48473415385755625
BHC,84,0.4983653757624018,50,50.464285714285715,14.607142857142858,0.5952380952380952,0.484201863336618
TUNI,46,0.4960788246016327,31,30.08695652173913,15.282608695652174,0.6739130434782609,0.48386763912700054
NJP,123,0.4972202729187087,80,35.390243902439025,15.308943089430894,0.6504065040650406,0.4833184902543017
G,98,0.4950154028903702,60,46.42857142857143,14.33673469387755,0.6122448979591837,0.48311469592082773
AKP,72,0.49690667236143404,48,30.90277777777778,15.944444444444445,0.6666666666666666,0.4830202017039584
TRL,45,0.49541952900649905,32,19.622222222222224,18.8,0.7111111111111111,0.4829918922685988
SWM,140,0.4942610087372961,93,32.52142857142857,14.07857142857143,0.6642857142857143,0.4827936555351549
SLN,35,0.4959572329896183,23,33.2,19.37142857142857,0.6571428571428571,0.4822579389620511
TDL,196,0.49666125346642737,138,20.112244897959183,12.96938775510204,0.7040816326530612,0.48205203475951147
ARJ,53,0.4949308662021052,34,37.490566037735846,15.60377358490566,0.6415094339622641,0.48185401948406725
BDL,45,0.49636776948265093,30,29.977777777777778,14.066666666666666,0.6666666666666666,0.48171607464935423
KOTA,187,0.4961996215080671,125,29.144385026737968,14.508021390374331,0.6684491978609626,0.4812345533637071
BTT,41,0.4954048186947375,28,25.29268292682927,15.902439024390244,0.6829268292682927,0.4808720497686052
DD,70,0.49609606137455864,48,24.185714285714287,14.514285714285714,0.6857142857142857,0.4808156880858092
TLY,57,0.4901451718013199,38,31.92982456140351,17.894736842105264,0.6666666666666666,0.4807882733295229
KUH,39,0.49768927929333373,28,14.615384615384615,16.615384615384617,0.717948717948718,0.4805775599701912
GY,46,0.496793982535004,32,20.934782608695652,16.891304347826086,0.6956521739130435,0.48050962622519094
PCOI,79,0.49628531714822977,52,30.962025316455698,14.772151898734178,0.6582278481012658,0.4802441509423645
MTD,77,0.49610851569296116,56,12.246753246753247,12.441558441558442,0.7272727272727273,0.4799349051633695
KQR,85,0.48676069848454717,58,28.352941176470587,14.717647058823529,0.6823529411764706,0.47980093089775455
BJU,153,0.49553089973919057,94,41.57516339869281,14.5359477124183,0.6143790849673203,0.478583832405309
MSH,97,0.4835360965785334,72,11.1340206185567,14.824742268041238,0.7422680412371134,0.47690262242612413
DR,311,0.4970003530425484,217,16.70096463022508,13.12540192926045,0.6977491961414791,0.4765061038539026
DRU,50,0.49567250231016935,34,20.52,17.46,0.68,0.47478927128931286
MKN,53,0.49221860009074725,38,12.0,14.622641509433961,0.7169811320754716,0.47462645845996143
LKR,37,0.49432478065541513,23,36.4054054054054,18.08108108108108,0.6216216216216216,0.474370806797869
BNZ,48,0.4959148002989337,31,28.854166666666668,15.020833333333334,0.6458333333333334,0.4739827543627405
DEC,141,0.49699773764640576,101,9.205673758865249,14.893617021276595,0.7163120567375887,0.47368966007139807
KIUL,182,0.4960425649601853,115,31.873626373626372,14.17032967032967,0.6318681318681318,0.47323454796181447
GADJ,81,0.4935409789511041,56,16.74074074074074,15.45679012345679,0.691358024691358,0.47290355766678577
RJT,51,0.49165285645843554,36,13.235294117647058,15.294117647058824,0.7058823529411765,0.4723957136615115
KGI,59,0.4948578805976626,41,13.830508474576272,16.440677966101696,0.6949152542372882,0.471373883991244
MAD,37,0.4958825867623675,26,10.864864864864865,16.945945945945947,0.7027027027027027,0.470905196882
DHD,60,0.4807033621950526,38,36.15,15.883333333333333,0.6333333333333333,0.47078792270826453
HVR,42,0.48863887583580345,29,16.80952380952381,15.80952380952381,0.6904761904761905,0.47026489440027097
JMT,33,0.49483322773852717,21,28.21212121212121,16.606060606060606,0.6363636363636364,0.4698828873422484
KMNC,30,0.49581539465087654,21,10.633333333333333,16.433333333333334,0.7,0.46980180619941286
MKU,51,0.48292950215687,31,39.705882352941174,16.529411764705884,0.6078431372549019,0.46823143090472796
BSP,94,0.4961811309085965,52,48.202127659574465,13.702127659574469,0.5531914893617021,0.46796538100953644
BSR,44,0.4957885251691509,29,18.545454545454547,16.295454545454547,0.6590909090909091,0.4663658916266743
JAT,63,0.4943275693149732,38,33.63492063492063,20.80952380952381,0.6031746031746031,0.46573911934020384
LPI,40,0.49393799169135927,24,32.975,14.775,0.6,0.4638537833177154
